Compound ID	Structure
TARGET_0000000001	NCCS(=O)(=O)O
CMPD_0000000002	CC(N)C(=O)O
CMPD_0000000003	CC(C)C(N)C(=O)O
CMPD_0000000004	O=CCS(=O)(=O)O
CMPD_0000000005	CC(=O)C(=O)O
EColi_132	O
EColi_1636	O=S(=O)(O)CCO
EColi_1855	O=C(O)CCC(=O)C(=O)O
