Compound ID	Structure
EColi_132	O
EColi_1636	O=S(=O)(O)CCO
EColi_1855	O=C(O)CCC(=O)C(=O)O
EColi_2011	CC(=O)C(=O)O
EColi_412	NCCS(=O)(=O)O
TARGET_0000000001	O=CCS(=O)(=O)O
